schema,table,column_name,column_type,nullable,default,primary_key
auth,users,is_sso_user,"boolean",no,"false",no
auth,users,deleted_at,"timestamp with time zone",yes,"",no
auth,users,is_anonymous,"boolean",no,"false",no
public,_policy_backup,id,""uuid"",no,""gen_random_uuid"()",no
public,_policy_backup,object_name,""text"",no,"",no
public,_policy_backup,policy_name,""text"",no,"",no
public,_policy_backup,policy_sql,""text"",no,"",no
public,_policy_backup,created_at,"timestamp with time zone",no,""now"()",no
public,analytics_events,id,""text"",no,"",no
public,analytics_events,user_id,""uuid"",yes,"",no
public,analytics_events,org_id,""uuid"",yes,"",no
public,analytics_events,course_id,""text"",yes,"",no
public,analytics_events,lesson_id,""text"",yes,"",no
public,analytics_events,module_id,""text"",yes,"",no
public,analytics_events,event_type,""text"",no,"",no
public,analytics_events,session_id,""text"",yes,"",no
public,analytics_events,user_agent,""text"",yes,"",no
public,analytics_events,payload,""jsonb"",yes,"",no
public,analytics_events,created_at,"timestamp with time zone",no,""now"()",no
public,analytics_events,client_event_id,""text"",yes,"",no
public,audit_logs,id,""uuid"",no,""gen_random_uuid"()",no
public,audit_logs,created_at,"timestamp with time zone",no,""now"()",no
public,audit_logs,actor_id,""uuid"",yes,"",no
public,audit_logs,actor_email,""text"",yes,"",no
public,audit_logs,action,""text"",no,"",no
public,audit_logs,entity_type,""text"",yes,"",no
public,audit_logs,entity_id,""uuid"",yes,"",no
public,audit_logs,organization_id,""uuid"",yes,"",no
public,audit_logs,details,""jsonb"",no,"'{}'::"jsonb"",no
public,course_engagement,id,""uuid"",no,""gen_random_uuid"()",no
public,course_engagement,course_id,""uuid"",no,"",no
public,course_engagement,organization_id,""uuid"",no,"",no
public,course_engagement,metric_date,""date"",no,"",no
public,course_engagement,active_learners,"integer",yes,"0",no
public,course_engagement,created_at,"timestamp with time zone",no,""now"()",no
public,course_engagement,updated_at,"timestamp with time zone",no,""now"()",no
public,courses,id,""uuid"",no,""gen_random_uuid"()",no
public,courses,organization_id,""uuid"",no,"",no
public,courses,title,""text"",no,"",no
public,courses,slug,""text"",no,"",no
public,courses,description,""text"",yes,"",no
public,courses,status,""text"",yes,"'draft'::"text"",no
public,courses,published_at,"timestamp with time zone",yes,"",no
public,courses,created_by,""uuid"",yes,"",no
public,courses,created_at,"timestamp with time zone",no,""now"()",no
public,courses,updated_at,"timestamp with time zone",no,""now"()",no
public,courses,meta_json,""jsonb"",yes,"'{}'::"jsonb"",no
public,courses,thumbnail,""text"",yes,"",no
public,lessons,id,""uuid"",no,""gen_random_uuid"()",no
public,lessons,module_id,""uuid"",no,"",no
public,lessons,course_id,""uuid"",no,"",no
public,lessons,organization_id,""uuid"",no,"",no
public,lessons,title,""text"",no,"",no
public,lessons,type,""text"",no,"'video'::"text"",no
public,lessons,description,""text"",yes,"",no
public,lessons,content,""jsonb"",yes,"'{}'::"jsonb"",no
public,lessons,order_index,"integer",no,"0",no
public,lessons,duration_seconds,"integer",yes,"",no
public,lessons,metadata,""jsonb"",yes,"'{}'::"jsonb"",no
public,lessons,created_at,"timestamp with time zone",no,""now"()",no
public,lessons,updated_at,"timestamp with time zone",no,""now"()",no
public,modules,id,""uuid"",no,""gen_random_uuid"()",no
public,modules,course_id,""uuid"",no,"",no
public,modules,organization_id,""uuid"",no,"",no
public,modules,title,""text"",no,"",no
public,modules,order_index,"integer",no,"0",no
public,modules,created_at,"timestamp with time zone",no,""now"()",no
public,modules,updated_at,"timestamp with time zone",no,""now"()",no
public,org_invites,id,""uuid"",no,""gen_random_uuid"()",no
public,org_invites,organization_id,""uuid"",no,"",no
public,org_invites,email,""text"",no,"",no
public,org_invites,role,""text"",no,"'member'::"text"",no
public,org_invites,token,""text"",no,"",no
public,org_invites,expires_at,"timestamp with time zone",no,"",no
public,org_invites,created_by,""uuid"",yes,"",no
public,org_invites,accepted_at,"timestamp with time zone",yes,"",no
public,org_invites,created_at,"timestamp with time zone",no,""now"()",no
public,org_invites,status,""text"",no,"'pending'::"text"",no
public,org_invites,reminder_count,"integer",yes,"0",no
public,organization_memberships,id,""uuid"",no,""gen_random_uuid"()",no
public,organization_memberships,organization_id,""uuid"",no,"",no
public,organization_memberships,user_id,""uuid"",no,"",no
public,organization_memberships,role,""text"",no,"'member'::"text"",no
public,organization_memberships,status,""text"",no,"'active'::"text"",no
public,organization_memberships,invited_by,""uuid"",yes,"",no
public,organization_memberships,created_at,"timestamp with time zone",no,""now"()",no
public,organization_memberships,updated_at,"timestamp with time zone",no,""now"()",no
public,organization_profiles,organization_id,""uuid"",no,"",no
public,organization_profiles,logo_url,""text"",yes,"",no
public,organization_profiles,primary_color,""text"",yes,"",no
public,organization_profiles,metadata,""jsonb"",yes,"'{}'::"jsonb"",no
public,organization_profiles,updated_at,"timestamp with time zone",no,""now"()",no
public,organizations,id,""uuid"",no,""gen_random_uuid"()",no
public,organizations,name,""text"",no,"",no
public,organizations,slug,""text"",no,"",no
public,organizations,status,""text"",yes,"'active'::"text"",no
public,organizations,plan,""text"",yes,"'standard'::"text"",no
public,organizations,created_at,"timestamp with time zone",no,""now"()",no
public,organizations,updated_at,"timestamp with time zone",no,""now"()",no
public,user_profiles,id,""uuid"",no,"",no
public,user_profiles,email,""text"",no,"",no
public,user_profiles,first_name,""text"",yes,"",no
public,user_profiles,last_name,""text"",yes,"",no
public,user_profiles,role,""text"",yes,"'learner'::"text"",no
public,user_profiles,organization_id,""uuid"",yes,"",no
public,user_profiles,is_active,"boolean",yes,"true",no
public,user_profiles,metadata,""jsonb"",yes,"'{}'::"jsonb"",no
public,user_profiles,created_at,"timestamp with time zone",no,""now"()",no
public,user_profiles,updated_at,"timestamp with time zone",no,""now"()",no
storage,buckets,id,""text"",no,"",no
storage,buckets,name,""text"",no,"",no
storage,buckets,owner,""uuid"",yes,"",no
storage,buckets,created_at,"timestamp with time zone",yes,""now"()",no
storage,buckets,updated_at,"timestamp with time zone",yes,""now"()",no
storage,buckets,public,"boolean",yes,"false",no
storage,buckets,avif_autodetection,"boolean",yes,"false",no
storage,buckets,file_size_limit,"bigint",yes,"",no
storage,buckets,allowed_mime_types,""text"[]",yes,"",no
storage,buckets,owner_id,""text"",yes,"",no
storage,buckets,type,""storage"."buckettype"",no,"'STANDARD'::"storage"."buckettype"",no
storage,buckets_analytics,name,""text"",no,"",no
storage,buckets_analytics,type,""storage"."buckettype"",no,"'ANALYTICS'::"storage"."buckettype"",no
storage,buckets_analytics,format,""text"",no,"'ICEBERG'::"text"",no
storage,buckets_analytics,created_at,"timestamp with time zone",no,""now"()",no
storage,buckets_analytics,updated_at,"timestamp with time zone",no,""now"()",no
storage,buckets_analytics,id,""uuid"",no,""gen_random_uuid"()",no
storage,buckets_analytics,deleted_at,"timestamp with time zone",yes,"",no
storage,buckets_vectors,id,""text"",no,"",no
storage,buckets_vectors,type,""storage"."buckettype"",no,"'VECTOR'::"storage"."buckettype"",no
storage,buckets_vectors,created_at,"timestamp with time zone",no,""now"()",no
storage,buckets_vectors,updated_at,"timestamp with time zone",no,""now"()",no
storage,migrations,id,"integer",no,"",no
storage,migrations,name,"character varying(100)",no,"",no
storage,migrations,hash,"character varying(40)",no,"",no
storage,migrations,executed_at,"timestamp without time zone",yes,"CURRENT_TIMESTAMP",no
storage,objects,id,""uuid"",no,""gen_random_uuid"()",no
storage,objects,bucket_id,""text"",yes,"",no
storage,objects,name,""text"",yes,"",no
storage,objects,owner,""uuid"",yes,"",no
storage,objects,created_at,"timestamp with time zone",yes,""now"()",no
storage,objects,updated_at,"timestamp with time zone",yes,""now"()",no
storage,objects,last_accessed_at,"timestamp with time zone",yes,""now"()",no
storage,objects,metadata,""jsonb"",yes,"",no
storage,objects,version,""text"",yes,"",no
storage,objects,owner_id,""text"",yes,"",no
storage,objects,user_metadata,""jsonb"",yes,"",no
storage,s3_multipart_uploads,id,""text"",no,"",no
storage,s3_multipart_uploads,in_progress_size,"bigint",no,"0",no
storage,s3_multipart_uploads,upload_signature,""text"",no,"",no
storage,s3_multipart_uploads,bucket_id,""text"",no,"",no
storage,s3_multipart_uploads,key,""text"",no,"",no
storage,s3_multipart_uploads,version,""text"",no,"",no
storage,s3_multipart_uploads,owner_id,""text"",yes,"",no
storage,s3_multipart_uploads,created_at,"timestamp with time zone",no,""now"()",no
storage,s3_multipart_uploads,user_metadata,""jsonb"",yes,"",no
storage,s3_multipart_uploads_parts,id,""uuid"",no,""gen_random_uuid"()",no
storage,s3_multipart_uploads_parts,upload_id,""text"",no,"",no
storage,s3_multipart_uploads_parts,size,"bigint",no,"0",no
storage,s3_multipart_uploads_parts,part_number,"integer",no,"",no
storage,s3_multipart_uploads_parts,bucket_id,""text"",no,"",no
storage,s3_multipart_uploads_parts,key,""text"",no,"",no
storage,s3_multipart_uploads_parts,etag,""text"",no,"",no
storage,s3_multipart_uploads_parts,owner_id,""text"",yes,"",no
storage,s3_multipart_uploads_parts,version,""text"",no,"",no
storage,s3_multipart_uploads_parts,created_at,"timestamp with time zone",no,""now"()",no
storage,vector_indexes,id,""text"",no,""gen_random_uuid"()",no
storage,vector_indexes,name,""text"",no,"",no
storage,vector_indexes,bucket_id,""text"",no,"",no
storage,vector_indexes,data_type,""text"",no,"",no
storage,vector_indexes,dimension,"integer",no,"",no
storage,vector_indexes,distance_metric,""text"",no,"",no
storage,vector_indexes,metadata_configuration,""jsonb"",yes,"",no
storage,vector_indexes,created_at,"timestamp with time zone",no,""now"()",no
storage,vector_indexes,updated_at,"timestamp with time zone",no,""now"()",no
